number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0000089,Active,True,0,0,1,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 653,29/2/2016 09:14,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,?,2 - Medium,3 - Low,4 - Low,Group 68,Resolver 97,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Active,True,1,0,2,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 653,29/2/2016 09:14,Phone,Location 108,Category 42,Subcategory 106,Symptom 2,?,2 - Medium,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Active,True,2,0,3,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 798,29/2/2016 09:14,Phone,Location 108,Category 45,Subcategory 191,Symptom 2,?,2 - Medium,3 - Low,4 - Low,Group 58,Resolver 76,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Active,True,3,0,4,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 310,2/3/2016 11:42,Phone,Location 108,Category 45,Subcategory 191,Symptom 2,?,2 - Medium,3 - Low,4 - Low,Group 33,?,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Awaiting Problem,True,3,0,5,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 862,2/3/2016 14:20,Phone,Location 108,Category 45,Subcategory 94,Symptom 26,?,2 - Medium,3 - Low,4 - Low,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Awaiting Problem,True,3,0,6,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 862,2/3/2016 14:27,Phone,Location 108,Category 45,Subcategory 94,Symptom 470,?,2 - Medium,3 - Low,4 - Low,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Awaiting Problem,True,3,0,7,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 862,2/3/2016 14:30,Phone,Location 108,Category 45,Subcategory 94,Symptom 609,?,2 - Medium,3 - Low,4 - Low,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Resolved,True,3,0,8,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 862,3/3/2016 14:35,Phone,Location 108,Category 45,Subcategory 94,Symptom 609,?,2 - Medium,3 - Low,4 - Low,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000089,Closed,False,3,0,9,True,Caller 4907,Opened by  180,29/2/2016 08:51,Created by 81,29/2/2016 09:03,Updated by 908,8/3/2016 15:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 609,?,2 - Medium,3 - Low,4 - Low,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 197,3/3/2016 14:35,8/3/2016 15:00
INC0000094,Active,True,0,0,0,True,Caller 387,Opened by  433,29/2/2016 08:58,?,?,Updated by 908,29/2/2016 08:58,Phone,Location 204,Category 45,Subcategory 220,?,?,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 184,10/3/2016 10:45,24/3/2016 18:50
INC0000094,Awaiting User Info,True,0,0,1,True,Caller 387,Opened by  433,29/2/2016 08:58,?,?,Updated by 804,29/2/2016 09:11,Phone,Location 204,Category 45,Subcategory 220,?,?,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 184,10/3/2016 10:45,24/3/2016 18:50
INC0000094,Awaiting User Info,True,0,0,2,True,Caller 387,Opened by  433,29/2/2016 08:58,?,?,Updated by 804,29/2/2016 14:24,Phone,Location 204,Category 45,Subcategory 220,?,?,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 184,10/3/2016 10:45,24/3/2016 18:50
INC0000094,Resolved,True,0,0,9,True,Caller 387,Opened by  433,29/2/2016 08:58,?,?,Updated by 804,10/3/2016 10:45,Phone,Location 204,Category 45,Subcategory 220,?,?,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 184,10/3/2016 10:45,24/3/2016 18:50
INC0000094,Closed,False,0,0,10,False,Caller 387,Opened by  433,29/2/2016 08:58,?,?,Updated by 908,24/3/2016 18:50,Phone,Location 204,Category 45,Subcategory 220,?,?,3 - Low,3 - Low,4 - Low,Group 66,Resolver 193,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 184,10/3/2016 10:45,24/3/2016 18:50
INC0000101,New,True,0,0,0,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 340,29/2/2016 09:13,Phone,Location 143,Category 42,Subcategory 224,Symptom 560,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000101,New,True,0,0,1,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 798,29/2/2016 09:42,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000101,Active,True,0,0,2,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 15,29/2/2016 10:28,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000101,Active,True,0,0,3,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 664,29/2/2016 10:59,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000101,Active,True,0,0,4,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 664,29/2/2016 10:59,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000101,Resolved,True,0,0,5,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 664,29/2/2016 11:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000101,Closed,False,0,0,6,True,Caller 1892,Opened by  180,29/2/2016 09:05,Created by 81,29/2/2016 09:13,Updated by 908,5/3/2016 12:00,Phone,Location 143,Category 55,Subcategory 170,Symptom 273,?,2 - Medium,3 - Low,4 - Low,Group 65,Resolver 180,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 163,29/2/2016 11:00,5/3/2016 12:00
INC0000134,New,True,0,0,2,True,Caller 2471,Opened by  501,29/2/2016 09:44,Created by 62,29/2/2016 07:46,Updated by 265,29/2/2016 07:55,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 72,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00
INC0000134,New,True,1,0,1,True,Caller 2471,Opened by  501,29/2/2016 09:44,Created by 62,29/2/2016 07:46,Updated by 750,29/2/2016 09:52,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 73,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00
INC0000134,Active,True,1,0,2,True,Caller 2471,Opened by  501,29/2/2016 09:44,Created by 62,29/2/2016 07:46,Updated by 755,1/3/2016 14:13,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00
INC0000134,Resolved,True,1,0,3,True,Caller 2471,Opened by  501,29/2/2016 09:44,Created by 62,29/2/2016 07:46,Updated by 533,3/3/2016 08:21,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00
INC0000134,Closed,False,1,0,4,True,Caller 2471,Opened by  501,29/2/2016 09:44,Created by 62,29/2/2016 07:46,Updated by 908,8/3/2016 09:00,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00
INC0000161,New,True,2,0,5,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,3/3/2016 12:02,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40
INC0000161,New,True,2,0,6,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,3/3/2016 14:24,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40
INC0000161,Awaiting User Info,True,2,0,7,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,3/3/2016 14:24,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40
INC0000161,Awaiting User Info,True,2,0,9,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,8/3/2016 09:22,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40
INC0000161,Resolved,True,2,0,10,True,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 135,8/3/2016 09:22,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40
INC0000161,Closed,False,2,0,11,False,Caller 3007,Opened by  180,29/2/2016 10:18,Created by 81,29/2/2016 10:30,Updated by 908,24/3/2016 18:40,Phone,Location 55,Category 37,Subcategory 135,Symptom 529,?,3 - Low,3 - Low,4 - Low,Group 29,Resolver 31,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 30,8/3/2016 09:22,24/3/2016 18:40
INC0000199,Resolved,True,0,0,0,True,Caller 4145,Opened by  301,29/2/2016 11:06,?,?,Updated by 908,29/2/2016 11:06,Phone,Location 204,Category 42,Subcategory 106,Symptom 242,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 149,True,False,Do Not Notify,?,?,?,?,code 11,Resolved by 133,?,5/3/2016 12:00
INC0000199,Closed,False,0,0,1,True,Caller 4145,Opened by  301,29/2/2016 11:06,?,?,Updated by 908,5/3/2016 12:00,Phone,Location 204,Category 42,Subcategory 106,Symptom 242,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 149,True,False,Do Not Notify,?,?,?,?,code 11,Resolved by 133,?,5/3/2016 12:00
INC0000204,New,True,0,0,0,True,Caller 1878,Opened by  501,29/2/2016 11:13,Created by 216,29/2/2016 11:42,Updated by 915,29/2/2016 11:42,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 17,Resolved by 62,29/2/2016 16:43,5/3/2016 17:00
INC0000204,Resolved,True,0,0,1,True,Caller 1878,Opened by  501,29/2/2016 11:13,Created by 216,29/2/2016 11:42,Updated by 241,29/2/2016 16:43,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 17,Resolved by 62,29/2/2016 16:43,5/3/2016 17:00
INC0000204,Resolved,True,0,0,2,True,Caller 1878,Opened by  501,29/2/2016 11:13,Created by 216,29/2/2016 11:42,Updated by 241,29/2/2016 16:43,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 17,Resolved by 62,29/2/2016 16:43,5/3/2016 17:00
INC0000204,Closed,False,0,0,3,True,Caller 1878,Opened by  501,29/2/2016 11:13,Created by 216,29/2/2016 11:42,Updated by 908,5/3/2016 17:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 17,Resolved by 62,29/2/2016 16:43,5/3/2016 17:00
INC0000232,New,True,0,0,0,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 908,29/2/2016 12:20,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 12,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,New,True,0,0,1,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 622,3/3/2016 10:32,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 12,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,New,True,1,0,2,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 622,3/3/2016 10:32,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,New,True,1,0,3,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 133,3/3/2016 18:46,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,New,True,1,0,4,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 727,4/3/2016 11:21,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Awaiting User Info,True,1,0,5,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 727,4/3/2016 11:35,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Awaiting User Info,True,1,0,6,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 727,4/3/2016 16:09,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Awaiting User Info,True,1,0,8,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 429,9/3/2016 13:52,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Awaiting User Info,True,1,0,9,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 135,9/3/2016 15:06,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Awaiting User Info,True,1,0,10,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 60,12/3/2016 10:22,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Awaiting User Info,True,1,0,11,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 111,12/3/2016 18:34,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Resolved,True,1,0,12,True,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 578,12/3/2016 21:23,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 150,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000232,Closed,False,1,0,13,False,Caller 3032,Opened by  501,29/2/2016 12:20,?,?,Updated by 908,24/3/2016 18:50,Phone,Location 143,Category 45,Subcategory 200,Symptom 470,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 150,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 134,12/3/2016 21:23,24/3/2016 18:50
INC0000292,New,True,0,0,0,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 915,29/2/2016 14:18,Phone,Location 143,Category 20,Subcategory 125,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 12,Resolver 236,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
INC0000292,New,True,1,0,1,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 798,29/2/2016 14:48,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,?,3 - Low,3 - Low,4 - Low,Group 28,Resolver 236,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
INC0000292,New,True,2,0,2,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 723,29/2/2016 16:26,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 236,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
INC0000292,Active,True,2,0,3,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 723,29/2/2016 16:29,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 127,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
INC0000292,Active,True,2,0,4,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 340,1/3/2016 08:15,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 127,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
INC0000292,Active,True,2,0,6,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 340,1/3/2016 08:49,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,?,3 - Low,3 - Low,4 - Low,Group 70,Resolver 127,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
INC0000292,Active,True,3,0,7,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 340,1/3/2016 08:50,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,?,3 - Low,3 - Low,4 - Low,Group 28,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
INC0000292,Active,True,3,0,8,True,Caller 1163,Opened by  501,29/2/2016 14:04,Created by 216,29/2/2016 14:18,Updated by 928,2/3/2016 09:13,Phone,Location 143,Category 20,Subcategory 125,Symptom 486,?,3 - Low,3 - Low,4 - Low,Group 28,Resolver 236,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 215,2/3/2016 09:57,7/3/2016 10:00
